1,64,10000000,10000000,20
2,90,10000000,10000000,20
3,99,10000000,10000000,20
4,94,10000000,10000000,20
5,94,10000000,10000000,20
6,94,10000000,10000000,20
7,92,10000000,10000000,20
8,92,10000000,10000000,20
9,93,10000000,10000000,20
10,96,10000000,10000000,20
11,95,10000000,10000000,20
12,95,10000000,10000000,20
13,97,10000000,10000000,20
14,94,10000000,10000000,20
15,92,10000000,10000000,20
16,94,10000000,10000000,20
17,97,10000000,10000000,20
18,101,10000000,10000000,20
19,108,10000000,10000000,20
20,109,10000000,10000000,20
21,113,10000000,10000000,20
22,115,10000000,10000000,20
23,112,10000000,10000000,20
24,113,10000000,10000000,20
25,111,10000000,10000000,20
26,111,10000000,10000000,20
27,109,10000000,10000000,20
28,105,10000000,10000000,20
29,103,10000000,10000000,20
30,105,10000000,10000000,20
31,101,10000000,10000000,20
32,99,10000000,10000000,20
33,100,10000000,10000000,20
34,99,10000000,10000000,20
35,101,10000000,10000000,20
36,102,10000000,10000000,20
37,100,10000000,10000000,20
38,100,10000000,10000000,20
39,102,10000000,10000000,20
40,102,10000000,10000000,20
41,103,10000000,10000000,20
42,102,10000000,10000000,20
43,104,10000000,10000000,20
44,104,10000000,10000000,20
45,106,10000000,10000000,20
46,102,10000000,10000000,20
47,104,10000000,10000000,20
48,107,10000000,10000000,20
49,106,10000000,10000000,20
50,101,10000000,10000000,20
51,104,10000000,10000000,20
52,103,10000000,10000000,20
53,101,10000000,10000000,20
54,103,10000000,10000000,20
55,102,10000000,10000000,20
56,105,10000000,10000000,20
57,104,10000000,10000000,20
58,99,10000000,10000000,20
59,103,10000000,10000000,20
60,104,10000000,10000000,20
61,100,10000000,10000000,20
62,103,10000000,10000000,20
63,103,10000000,10000000,20
64,104,10000000,10000000,20
